Ulrike-Günther-Platz 145, 18410 Guben
Sigurd-Kühn-Allee 8/6, 76106 Weißenfels
Meyerring 3/0, 18049 Steinfurt
Gilbert-Konrad-Ring 2, 92625 Mittweida
Moritzweg 0, 77139 Bad Langensalza
Wolf-Dieter-Ziegler-Platz 3/2, 08636 Dinkelsbühl
Henny-Wiedemann-Ring 9/1, 17614 Viechtach
Bianka-Mann-Weg 2/3, 51816 Jessen
Hans-Wilhelm-Gasse 0/3, 98051 Schwarzenberg
Sonntagallee 13, 32800 Eisenach
Herbststraße 1, 72389 Gransee
Adamplatz 0, 92629 Osterodem Harz
Brunhilde-Hecht-Allee 5/9, 90409 Sangerhausen
Schumacherweg 2, 65378 Gelnhausen
Hillerring 026, 13012 Hettstedt
Mackweg 734, 10220 Eisenach
Larissa-Hartmann-Ring 9, 19666 Senftenberg
Irina-Büttner-Gasse 4/6, 75430 Bad Kreuznach
Albertweg 24, 59260 Stade
Hagenweg 783, 78769 Bamberg
Möllerplatz 62, 21630 Neubrandenburg
Zieglerstraße 65, 17116 Güstrow
Elke-Döring-Platz 82, 98694 Neustrelitz
Monica-Seiler-Gasse 82, 36905 Lobenstein
Jacobgasse 8/6, 94938 Geldern
Hauserstr. 43, 82304 Kelheim
Klaus Peter-Albrecht-Platz 7, 31831 Grimma
Wolfweg 13, 27909 Neustadtner Waldnaab
Bernhard-Baumann-Platz 810, 52433 Wetzlar
Singerstraße 5, 26823 Rochlitz
Carla-Langer-Weg 2, 55632 Euskirchen
Heroldstr. 416, 45796 Mainburg
Berta-Scharf-Straße 6/8, 37724 Hannover
Riegergasse 62, 64292 Werdau
Gerti-Hauser-Platz 11, 62166 Erkelenz
Boris-Hartung-Allee 36, 95702 Tübingen
Zimmergasse 3, 92136 Mittweida
Reichertstr. 302, 79548 Ebersberg
Blankgasse 3, 38320 Freudenstadt
Isabelle-Wiegand-Platz 62, 09525 Dinkelsbühl
Rennerweg 2/9, 24371 Merseburg
Rosemarie-Münch-Allee 40, 73937 Coburg
Rebecca-Heß-Weg 4/4, 36337 Göttingen
Fuhrmannring 274, 47769 Ansbach
Edelgard-Krauß-Allee 246, 08904 Marienberg
Straubring 416, 07909 Schwandorf
Siegmar-Bergmann-Platz 38, 64794 Mühlhausen
Wittring 945, 67813 Sangerhausen
Melanie-Beck-Weg 6, 67046 Bergzabern
Harmsstr. 4/4, 24557 Herford
Meyerallee 089, 91075 Mühlhausen
Friedrichallee 24, 58722 Neustrelitz
Wiltrud-Ludwig-Allee 78, 28906 Bützow
Hans-Georg-Pietsch-Weg 8, 96115 Rockenhausen
Gerold-Merz-Gasse 7, 35120 Augsburg
Hessring 3, 25970 Pasewalk
Bertram-Schiller-Platz 7/4, 40758 Dinslaken
Georg-Thiele-Gasse 3, 40878 Kleve
Straubstraße 31, 00620 Soltau-Fallingbostel
Geislerring 20, 61039 Dieburg
Lisa-Reuter-Weg 19, 03342 Nabburg
Eva-Busse-Ring 14, 12222 Holzminden
Andree-Ackermann-Ring 176, 98535 Schwabmünchen
Hinzgasse 16, 52357 Dachau
Silvio-Riedl-Straße 4, 92649 Gerolzhofen
Wenzel-Mack-Gasse 5, 50957 Tuttlingen
Opitzallee 741, 58068 Niesky
Gottlieb-Stahl-Gasse 0, 31839 Lörrach
Anny-Geißler-Allee 54, 49390 Naila
Schröterweg 8/6, 43301 Merseburg
Nikolaos-Scherer-Gasse 4/8, 19147 Lichtenfels
David-Rau-Ring 88, 71760 Plauen
Anastasia-Behrendt-Platz 847, 95454 Paderborn
Salvatore-Bayer-Gasse 31, 64576 Jülich
Wilkestraße 013, 25271 Guben
Till-Hartung-Straße 21, 39127 Teterow
Mandy-Martin-Allee 90, 31126 Görlitz
Bernhardtring 871, 90203 Hildburghausen
Isabell-Schuster-Gasse 5, 20903 Kusel
Edelgard-Krieger-Platz 97, 26211 Wertingen
Jennifer-Klaus-Gasse 8, 00943 Malchin
Körnerweg 0/3, 52067 Emmendingen
Baierstraße 3, 68770 Wernigerode
Springergasse 43, 16054 Sondershausen
Buckring 579, 45180 Bamberg
Sonja-Scholz-Straße 80, 01026 Rastatt
Nikolaj-Schmitt-Straße 0, 55713 Ahaus
Theo-Fricke-Straße 2, 99988 Höxter
Reinhild-Kohl-Ring 5/6, 25087 Hamburg
Ricarda-Schmid-Allee 936, 58083 Tuttlingen
Brunnerring 8/9, 63957 Lippstadt
Reimund-Fuhrmann-Gasse 970, 96375 Klötze
Kochgasse 32, 05756 Ebern
Reinhard-Möller-Platz 2, 86904 Chemnitz
Monique-Hoffmann-Allee 2/5, 70337 Bad Kreuznach
Weißweg 3/5, 20532 Wertingen
Marie-Luise-Wulf-Straße 3, 72694 Weißenfels
Moritzallee 851, 04232 Badibling
Kösterallee 7, 89790 Lübben
Seilerstraße 9/6, 42110 Nürtingen
Catrin-Hoffmann-Ring 1, 38952 Badoberan
Heilgasse 5/6, 29202 Ludwigslust
Marco-Jost-Platz 53, 53994 Kemnath
Alexandra-Walther-Straße 8/7, 97710 Oberviechtach
Böttcherstraße 1/6, 73346 Oranienburg
Kuhnstr. 48, 51527 Eisenach
Seidlweg 96, 45551 Fürstenfeldbruck
Heinz-Dieter-Hennig-Ring 93, 92007 Melle
Burgerplatz 28, 15583 Eutin
Strobelgasse 900, 47448 Grimma
Heldplatz 82, 69428 Roth
Blockweg 669, 78312 Bad Liebenwerda
Krögerallee 5, 51158 Pirmasens
Margitta-Graf-Allee 106, 03452 Bad Liebenwerda
Fuchsallee 8/0, 45915 Bogen
Schulzring 899, 06024 Helmstedt
Blankgasse 14, 36980 Illertissen
Armin-Geißler-Weg 25, 72289 Tübingen
Helena-Moser-Platz 0, 68498 Pegnitz
Mareike-Klaus-Ring 9/7, 18526 Havelberg
Philip-Löffler-Platz 1/9, 34212 Calw
Cordula-Kurz-Weg 36, 90903 Melle
Wulf-Holz-Weg 1, 33908 Herford
Annette-Menzel-Ring 21, 34097 Brilon
Kramerstraße 5, 75065 Zossen
Regine-Franz-Allee 2/2, 95701 Teterow
Schusterplatz 131, 27979 Hohenmölsen
Andy-Lehmann-Ring 0/5, 86335 Brilon
Stephangasse 5/3, 54783 Rudolstadt
Nagelweg 6/6, 02602 Berchtesgaden
Leo-Hein-Allee 9/8, 17964 Leipziger Land
Wiebke-Jäger-Straße 5/5, 75293 Miltenberg
Bartelsstr. 174, 50314 Ebern
Schottallee 240, 98376 Oschatz
Vogtstr. 92, 69156 Calw
Rafael-Bühler-Weg 350, 12019 Jena
Harri-Vogt-Weg 97, 82841 Stadtroda
Edgar-Kohl-Weg 92, 84275 Staßfurt
Schreiberstraße 6/6, 89783 Bremervörde
Probstallee 48, 80833 Sulzbach-Rosenberg
Rothplatz 1, 95860 Spremberg
Meinhard-Schlüter-Straße 6/5, 61636 Forst
Willibald-Erdmann-Gasse 01, 42885 Gera
Ariane-Löffler-Weg 80, 71562 Erding
Raustraße 26, 42020 Coburg
Gebhard-Reimer-Gasse 5, 11603 Malchin
Jolanta-Pfeifer-Allee 0/8, 00686 Meiningen
Konstantinos-Böttcher-Allee 72, 50103 München
Rüdiger-Klaus-Straße 8, 41784 Groß-Gerau
Rolf-Dieter-Rau-Ring 0/2, 20731 Bersenbrück
Steinerstraße 3, 92043 Lippstadt
Schmidgasse 56, 73322 Gardelegen
Ivonne-Wahl-Straße 7/2, 55598 Greifswald
Leonhard-Scherer-Allee 4/2, 82722 Bremervörde
Lemkegasse 823, 75145 Strasburg
Hilda-Kaufmann-Allee 655, 12341 Pasewalk
Monika-Rieger-Gasse 99, 68816 Leipziger Land
Thielegasse 6, 11906 Kamenz
Margarethe-Günther-Straße 9/0, 38099 Pritzwalk
Conradweg 0, 46500 Pegnitz
Norman-Ulrich-Allee 358, 41682 Berlin
Elfriede-Köhler-Allee 16, 86180 Schleiz
Münchallee 189, 31625 Angermünde
Schrammgasse 2/2, 15844 Moers
Ulla-Otto-Allee 9/5, 53418 Vohenstrauß
Esserring 848, 02938 Bremervörde
Willstraße 2, 66305 Ahaus
Römerring 4, 48745 Grevenbroich
Gesa-Mayer-Gasse 4/0, 72594 Hagenow
Krausstraße 7, 08980 Ebermannstadt
Kriegergasse 58, 01262 Hildburghausen
Wittmanngasse 307, 46132 Bad Liebenwerda
Weigelallee 08, 62163 Wolfenbüttel
Beckerallee 969, 16671 Sonneberg
Claus-Thiel-Allee 041, 62144 Haldensleben
Ludger-Schuster-Straße 902, 23564 Strausberg
Bertramweg 802, 18035 Tecklenburg
Steffi-Reiter-Gasse 8, 42846 Grimmen
Millerplatz 39, 73219 Bad Kreuznach
Henri-Thiel-Ring 0/0, 21132 Teterow
Bernard-Heß-Weg 07, 01899 Cottbus
Meyerplatz 5, 15567 Hannoversch Münden
Wilhelmine-Beyer-Weg 9, 83461 Kelheim
Steffen-Keßler-Straße 147, 67630 Parsberg
Schmitzweg 1, 08871 Schongau
Konstantinos-Buck-Weg 996, 06819 Wittenberg
Freyring 2, 73434 Brandenburg
Jungstr. 24, 43909 Tuttlingen
Seegerplatz 2, 71225 Bernburg
Sigrun-Münch-Gasse 1/6, 50443 Burg
Gaby-Wegener-Weg 354, 61178 Bersenbrück
Dimitri-Straub-Weg 934, 28651 Bitterfeld
Fredi-Merkel-Allee 378, 40411 Gransee
Fritschring 731, 62614 Eckernförde
Hella-Büttner-Ring 2/7, 77197 Aurich
Aloisia-Hagen-Ring 633, 01246 Aue
Emilie-Gross-Platz 813, 19906 Genthin
Bauerallee 8, 95761 Viersen
Samuel-Wiesner-Ring 14, 64519 Belzig
Else-Pohl-Allee 2/4, 85797 Ludwigsburg
Kraußallee 7, 43360 Miltenberg
Naumannstr. 4/5, 93442 Melle
Jasmin-Klose-Gasse 960, 04032 Koblenz
Susanna-Ziegler-Gasse 3, 12037 Vechta
Moritzweg 815, 37359 Borna
Stephanstraße 104, 79041 Anklam
Lohmanngasse 2, 40704 Sternberg
Mike-Kaiser-Allee 14, 53643 Jena
Marlene-Anders-Platz 3/5, 17656 Malchin
Bernhardtstraße 2/0, 36410 Cloppenburg
Falkgasse 77, 94661 Sondershausen
Niels-Herbst-Weg 495, 06076 Hagenow
Klemmweg 273, 77153 Miltenberg
Winklerplatz 98, 54774 Bad Brückenau
Schlegelplatz 5/6, 78051 Gifhorn
Gärtnerstr. 55, 47081 Luckenwalde
Schreibergasse 1/0, 52630 Dessau
Stefanie-Sonntag-Gasse 54, 10641 Belzig
Carina-Rupp-Ring 726, 50962 Eisenhüttenstadt
Wimmerstraße 1/0, 61085 Wolfratshausen
Manuela-Jansen-Gasse 1, 31723 Osterodem Harz
Wladimir-Bach-Straße 5, 20936 Belzig
Oskar-Seifert-Allee 1/6, 74980 Stuttgart
Ulrike-Nagel-Gasse 6/4, 73143 Einbeck
Wittmannstr. 223, 53357 Kötzting
Amalie-Langer-Allee 4/9, 49405 Sankt Goar
Hans-Günter-Hohmann-Ring 7, 78857 Höxter
Baumgartnerstr. 208, 30077 Hettstedt
Regina-Seiler-Straße 9/4, 28784 Ribnitz-Damgarten
Ingrid-Franz-Ring 99, 95633 Kaiserslautern
Holzallee 6/4, 59816 Hainichen
Merzplatz 4, 73141 Lichtenfels
Hiltrud-Werner-Weg 412, 26358 Bautzen
Mark-Kraus-Straße 57, 75471 Biedenkopf
Harald-Siebert-Allee 4/6, 64037 Moers
Leonore-Giese-Straße 018, 81216 Jessen
Marian-Albert-Straße 240, 87436 Luckenwalde
Johanne-Köster-Gasse 286, 61938 Demmin
Klemmweg 9/5, 25112 Burglengenfeld
Alexandra-Völker-Weg 9/1, 65751 Demmin
Auerstraße 9/4, 38796 Guben
Aloys-Eberhardt-Platz 232, 70877 Darmstadt
Renate-Thiel-Gasse 684, 18598 Wernigerode
Horst-Blank-Straße 676, 45734 Bad Liebenwerda
Baumring 84, 70978 Schwabmünchen
Maja-Jacob-Straße 0, 52218 Mettmann
Elena-Bischoff-Weg 4/7, 71364 Holzminden
Jostring 79, 88760 Hammelburg
Schenkring 3, 62059 Erfurt
Albertplatz 873, 86891 Wolgast
Seegerplatz 0/9, 80226 Sternberg
Rüdiger-Henning-Allee 078, 47029 Erding
Straußring 7, 88273 Biedenkopf
Benderstraße 39, 91919 Paderborn
Kraußplatz 0, 25743 Hettstedt
Burghard-Schaller-Allee 04, 55436 Schleiz
Waltherallee 31, 20384 Kulmbach
Ludwig-Bittner-Weg 013, 72969 Lobenstein
Hübnergasse 850, 68445 Pößneck
Emine-Busch-Ring 8/0, 21988 Rastatt
Nikolaj-Becker-Ring 5/8, 37616 Sangerhausen
Hofmannstr. 44, 97276 Grevesmühlen
Gunter-Schiller-Ring 5, 76548 Seelow
Arndtweg 1/4, 35746 Jülich
Judith-Voß-Straße 069, 63209 Neustadtner Waldnaab
Neubauerring 9/4, 82911 Diepholz
Wolfgasse 8, 49979 Dinkelsbühl
Franzplatz 9/6, 54196 Kehl
Dietrichstr. 8, 48127 Querfurt
Voßring 88, 69911 Mayen
Schulzplatz 183, 53066 Brand-Erbisdorf
Wielandallee 668, 21954 Chemnitz
Artur-Gottschalk-Gasse 670, 58818 Altötting
Lorenz-Kunz-Gasse 43, 05739 Greiz
Ackermannring 9/6, 92752 Havelberg
Eberhardtring 610, 33124 Kusel
Hildebrandtring 265, 91848 Lüneburg
Hermann-Josef-Mayer-Allee 65, 97369 Wunsiedel
Keilring 0, 06302 Neuruppin
Hellerplatz 2, 29986 Gotha
Sina-Vogt-Weg 121, 71071 Bamberg
Otto-Pape-Ring 18, 23020 Ochsenfurt
Mannweg 9, 47759 Lübz
Marietta-Beer-Gasse 29, 53827 Hohenmölsen
Armin-Ullrich-Platz 10, 50323 Uelzen
Neubertweg 6, 65896 Bützow
Cornelius-Winter-Weg 844, 96254 Kehl
Rebecca-Noll-Straße 010, 62588 Garmisch-Partenkirchen
Meinhard-Geisler-Straße 6, 15149 Siegen
Stadlerstraße 90, 63728 Wismar
Waldemar-Bernhardt-Ring 6, 98254 Norden
Hildebrandtallee 8/0, 24480 Wernigerode
Hans-Gerd-Stadler-Ring 5/9, 05884 Leipziger Land
Thekla-Fröhlich-Ring 9, 53425 Wanzleben
Wilma-Popp-Weg 33, 30971 Schweinfurt
Gunther-Jürgens-Straße 016, 95641 Ingolstadt
Lindnerplatz 504, 00733 Quedlinburg
Gabi-Janssen-Gasse 9, 74700 Viersen
Therese-Heß-Allee 4, 52753 Wertingen
Ruppring 0/6, 13022 Plauen
Simonallee 1/9, 34655 Stade
