12°52′N 7°34′W
9°24′S 40°30′W
17°25′N 102°45′E
36°43′N 4°25′W
46°14′N 63°09′W
35°25′N 136°46′E
6°36′S 106°48′E
41°54′N 12°30′E
54°05′N 2°80′W
47°26′N 123°27′E
58°23′N 26°43′E
50°51′N 5°41′E
52°31′N 13°23′E
52°35′N 0°15′W
23°02′N 72°35′E
41°39′N 0°53′W
7°12′S 39°20′W
45°46′N 4°51′E
52°55′N 1°28′W
47°48′N 13°02′E
29°19′S 27°29′E
39°09′N 127°27′E
42°20′N 83°03′W
52°24′N 16°55′E
60°59′N 25°39′E
17°07′N 61°51′W
10°38′N 85°26′W
82°30′N 62°20′W
23°02′N 113°43′E
51°03′N 114°04′W
53°48′N 1°45′W
32°07′N 20°04′E
33°34′N 133°32′E
57°42′N 11°58′E
51°27′N 2°35′W
36°04′N 136°13′E
38°04′N 46°18′E
19°55′N 99°50′E
25°32′N 103°27′W
44°50′N 0°35′W
34°46′N 113°39′E
14°42′N 17°27′W
48°18′N 14°17′E
22°55′S 43°12′W
6°08′N 1°13′E
13°27′N 16°35′W
21°08′N 79°05′E
36°48′N 34°38′E
42°28′N 59°36′E
6°10′S 35°45′E
64°44′N 177°31′E
46°51′N 29°38′E
39°06′N 94°35′W
90°00′S 0°00′E
5°40′N 67°38′W
7°16′S 112°45′E
12°58′S 28°38′E
14°55′N 23°31′W
45°25′N 141°40′E
20°40′N 105°16′W
36°46′N 3°13′E
6°19′N 5°36′E
37°49′S 144°58′E
26°43′N 88°26′E
25°58′S 32°35′E
21°53′N 102°18′W
51°14′N 6°47′E
15°36′S 56°06′W
21°07′N 101°41′W
18°55′S 48°17′W
4°53′N 114°57′E
34°21′N 134°03′E
42°53′S 147°20′E
4°55′N 1°46′W
51°53′N 176°39′W
12°07′N 68°56′W
30°03′N 31°14′E
0°21′S 42°33′E
63°29′N 11°10′E
46°46′N 23°35′E
37°47′S 175°17′E
8°59′N 79°31′W
61°30′N 23°46′E
25°17′S 57°38′W
16°28′N 107°35′E
41°16′N 69°13′E
12°27′S 130°50′E
45°28′N 9°11′E
38°28′N 23°36′E
20°19′S 118°36′E
51°52′N 2°14′W
38°26′N 27°09′E
55°24′N 10°23′E
0°01′S 109°20′E
45°57′N 66°40′W
20°53′S 55°27′E
14°59′N 102°06′E
35°41′N 139°42′E
